id,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,grass_pollen,air_quality
8884,2023-07-25,6.21,3.34,137.54,1.01,0.09,67.92,2.9,Bonne
8885,2023-07-26,3.6,2.19,123.08,0.82,0.09,77.17,3.32,Bonne
8886,2023-07-27,4.82,2.88,134.67,1.08,0.1,73.5,5.66,Bonne
8887,2023-07-28,6.5,3.81,134.88,2.02,0.49,67.96,4.28,Bonne
8888,2023-07-29,8.53,6.14,144.42,1.66,0.37,79.67,3.8,Bonne
8889,2023-07-30,4.62,3.38,146.75,0.86,0.08,68.71,2.36,Bonne
8890,2023-07-31,5.22,3.26,148.17,0.97,0.15,75.21,5.29,Bonne
8891,2023-08-01,6.68,4.08,144.0,1.08,0.13,67.33,4.87,Bonne
8892,2023-08-02,6.46,3.8,141.21,1.06,0.19,70.46,3.88,Bonne
8893,2023-08-03,5.64,3.05,138.33,0.96,0.13,72.33,2.78,Bonne
8894,2023-08-04,3.04,1.81,131.92,0.85,0.09,66.62,2.66,Bonne
8895,2023-08-05,3.44,2.44,130.67,0.72,0.12,80.0,1.95,Bonne
8896,2023-08-06,3.62,2.23,126.17,0.71,0.11,74.67,2.32,Bonne
8897,2023-08-07,3.14,2.06,126.25,0.68,0.12,76.58,2.27,Bonne
8898,2023-08-08,3.78,2.17,132.88,1.25,0.2,74.71,4.29,Bonne
8899,2023-08-09,4.47,2.67,127.71,1.19,0.21,69.58,3.34,Bonne
8900,2023-08-10,6.82,3.26,125.79,1.18,0.24,71.42,3.53,Bonne
8901,2023-08-11,13.08,4.8,139.08,1.75,0.49,79.12,4.0,Bonne
8902,2023-08-12,13.67,6.54,173.21,1.95,0.75,98.17,4.04,Bonne
8903,2023-08-13,12.06,6.86,170.12,1.38,0.41,85.5,3.63,Bonne
8904,2023-08-14,16.39,7.11,128.92,1.3,0.3,74.5,3.01,Bonne
8905,2023-08-15,10.22,5.13,134.08,1.36,0.34,76.29,2.66,Bonne
8906,2023-08-16,11.42,6.02,137.67,1.43,0.42,77.62,2.5,Bonne
8907,2023-08-17,12.89,6.27,127.92,1.48,0.58,76.46,2.51,Bonne
8908,2023-08-18,14.67,7.12,130.04,1.62,0.52,80.5,2.77,Bonne
8909,2023-08-19,18.9,8.43,132.38,1.62,0.42,76.42,2.76,Bonne
8910,2023-08-20,20.15,9.78,140.83,1.55,0.38,76.5,3.07,Acceptable
8911,2023-08-21,18.8,10.28,160.5,2.08,0.59,79.96,2.82,Acceptable
8912,2023-08-22,14.65,8.98,161.21,1.78,0.58,89.12,2.72,Bonne
8913,2023-08-23,20.18,9.28,145.0,1.73,0.66,82.17,2.74,Acceptable
8914,2023-08-24,21.03,10.56,172.67,1.83,0.7,90.83,3.03,Acceptable
8915,2023-08-25,15.46,9.61,169.33,1.67,0.6,96.29,2.07,Bonne
8916,2023-08-26,12.79,8.01,161.75,1.76,0.24,62.12,0.7,Bonne
8917,2023-08-27,5.65,3.91,134.08,1.25,0.05,55.79,0.36,Bonne
8918,2023-08-28,2.44,1.73,130.38,1.02,0.04,67.46,0.46,Bonne
8919,2023-08-29,2.02,1.58,140.21,1.06,0.14,77.25,0.6,Bonne
8920,2023-08-30,4.43,3.16,151.33,1.32,0.15,70.67,0.74,Bonne
8921,2023-08-31,4.35,3.2,161.21,1.15,0.1,66.12,1.03,Bonne
8922,2023-09-01,5.32,3.18,150.58,1.41,0.17,59.83,1.26,Bonne
8923,2023-09-02,6.59,4.29,150.96,1.51,0.25,64.54,0.62,Bonne
8924,2023-09-03,6.15,4.16,158.04,1.31,0.22,62.25,1.14,Bonne
8925,2023-09-04,7.51,4.97,153.83,1.71,0.25,67.38,1.02,Bonne
8926,2023-09-05,12.68,7.46,192.67,1.95,0.52,84.71,0.0,Bonne
8927,2023-09-06,13.95,8.08,178.88,1.76,0.54,83.83,0.0,Bonne
8928,2023-09-07,12.49,7.92,181.54,1.57,0.44,86.62,0.0,Bonne
8929,2023-09-08,11.29,7.62,181.38,1.82,0.46,88.21,0.0,Bonne
8930,2023-09-09,13.02,9.11,190.67,1.98,0.62,94.17,0.0,Bonne
8931,2023-09-10,13.65,10.33,193.88,1.55,0.63,92.0,0.0,Acceptable
8932,2023-09-11,14.7,9.3,193.42,1.69,0.55,94.04,0.0,Bonne
8933,2023-09-12,15.22,8.9,158.79,1.6,0.74,91.42,0.0,Bonne
8934,2023-09-13,12.75,8.99,142.5,1.36,0.55,70.75,0.0,Bonne
8935,2023-09-14,7.3,4.95,148.62,1.52,0.09,58.21,0.0,Bonne
8936,2023-09-15,7.58,5.16,150.46,1.46,0.25,67.58,0.0,Bonne
